time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
4570,2021-06-25 14:35:29,36.162454,-96.835597,10.498688,10.498688,1038.0799833498,1048.5786713498,11.48294,0.447388,0.786909474,11,0,15.76,1049.2348393498,11.154856,7.49598594,0.786909474,0.447388,0,0,13.6, 8.7, -1.3,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
4780,2021-06-25 14:35:29,36.162454,-96.835597,10.498688,10.498688,1038.0799833498,1048.5786713498,11.48294,0.447388,0.786909474,11,0,15.76,1049.2348393498,11.154856,7.49598594,0.786909474,0.447388,0,0,13.5, 8.6, -1.4,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
4940,2021-06-25 14:35:30,36.162454,-96.835597,10.498688,10.498688,1038.0799833498,1048.5786713498,11.48294,0.447388,0.786909474,11,0,15.76,1049.2348393498,11.154856,7.49598594,0.786909474,0.447388,0,0,13.5, 9.1, -0.7,0,0,1024,1024,1024,1024,13.8,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
5000,2021-06-25 14:35:30,36.162455,-96.835597,10.170604,10.170604,1038.0799833498,1048.2505873498,11.811024,0.447388,1.13349084992,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.447388,0,0,13.6, 9.1, 0,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.2505873498,10.170604,6,P-GPS,
5150,2021-06-25 14:35:30,36.162455,-96.835597,10.170604,10.170604,1038.0799833498,1048.2505873498,11.811024,0.447388,1.13349084992,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.447388,0,0,13.5, 9.1, 0,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.2505873498,10.170604,6,P-GPS,
5250,2021-06-25 14:35:30,36.162455,-96.835597,10.170604,10.170604,1038.0799833498,1048.2505873498,11.811024,0.50107456,1.13349084992,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.447388,0,-0.223694,13.4, 9.5, 0.1,0,0,1024,1024,1024,1024,13.8,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.2505873498,10.170604,6,P-GPS,
5360,2021-06-25 14:35:30,36.162455,-96.835597,10.170604,10.170604,1038.0799833498,1048.2505873498,11.811024,0.50107456,1.13349084992,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.447388,0,-0.223694,13.6, 10.1, 0.9,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.2505873498,10.170604,6,P-GPS,
5450,2021-06-25 14:35:30,36.162455,-96.835597,10.498688,10.498688,1038.0799833498,1048.5786713498,11.811024,0.31540854,1.13349084992,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.223694,0,-0.223694,13.7, 11.1, 1.3,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
5570,2021-06-25 14:35:30,36.162455,-96.835598,10.498688,10.4658796,1038.1127917498,1048.5786713498,11.811024,0.31540854,1.09454727912,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.223694,0,-0.223694,13.8, 11.4, 1.3,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
5720,2021-06-25 14:35:30,36.162455,-96.835598,10.498688,10.4658796,1038.1127917498,1048.5786713498,12.139108,0.447388,1.09454727912,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0,0,-0.447388,13.5, 9.2, -1.3,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
